occupation,year,men,women,diff,FirstYear,shorthand,firstyeardif
Personal care aides,2021,666,598,68,2015,Personal Care Aides,20
Personal care and service occupations,2015,597,475,122,2015,Service Occupations,0
Personal care and service occupations,2016,613,482,131,2015,Service Occupations,9
Personal care and service occupations,2017,612,503,109,2015,Service Occupations,-13
Personal care and service occupations,2018,638,517,121,2015,Service Occupations,-1
Personal care and service occupations,2019,624,531,93,2015,Service Occupations,-29
Personal care and service occupations,2020,740,591,149,2015,Service Occupations,27
Personal care and service occupations,2021,699,603,96,2015,Service Occupations,84
Physicians and surgeons,2015,1915,1533,382,2015,Physicians And Surgeons,0
Physicians and surgeons,2016,2343,1476,867,2015,Physicians And Surgeons,485
Physicians and surgeons,2017,2277,1759,518,2015,Physicians And Surgeons,136
Physicians and surgeons,2018,2513,1677,836,2015,Physicians And Surgeons,454
Physicians and surgeons,2019,2500,1878,622,2015,Physicians And Surgeons,240
Physicians and surgeons,2020,2311,1905,406,2015,Physicians And Surgeons,24
Physicians and surgeons,2021,2647,2283,364,2015,Physicians And Surgeons,14
Police and sheriff's patrol officers,2015,1001,1009,8,2015,Police Officers,0
Police and sheriff's patrol officers,2016,1008,938,70,2015,Police Officers,62
Police and sheriff's patrol officers,2017,1024,985,39,2015,Police Officers,31
Police and sheriff's patrol officers,2018,1131,816,315,2015,Police Officers,307
Police and sheriff's patrol officers,2019,1143,922,221,2015,Police Officers,213
Police and sheriff's patrol officers,2020,1188,1074,114,2015,Police Officers,106
Police and sheriff's patrol officers,2021,1242,1197,45,2015,Police Officers,72
Postsecondary teachers,2015,1405,1144,261,2015,Postsecondary Teachers,0
Postsecondary teachers,2016,1356,1152,204,2015,Postsecondary Teachers,-57
Postsecondary teachers,2017,1414,1208,206,2015,Postsecondary Teachers,-55
Postsecondary teachers,2018,1603,1253,350,2015,Postsecondary Teachers,89
